index,Drug_Name,Reason,Description,Description_Length
25,acnestar 10mg capsule 10'sacnestar 2.5% soap 75gmacnestar s soap 75gmacnestar 20mg capsule 10's,Acne,"it helps to reduce swelling. it can help reduce tenderness and pain when applied on a red, swollen pimple.",19
26,acnetoin 20mg capsule 10'sacnetoin gel 15gm,Acne,mild to moderate acne (spots),5
27,acnetoin plus oinment 15gm,Acne,a ret 0.025% is a prescription medicine that is used to reduce fine wrinkles,14
28,acnetor ad 1% ointment 15gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
29,acnetor ad cream 15acnetor ad gel 15gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
30,acnewar gel 15gm,Acne,treat the most severe form of acne (nodular acne)â,9
31,acnewar plus gel 15gm,Acne,treat the most severe form of acne (nodular acne)â,9
32,acnex 10mg capsule 10'sacnex 20mg capsule 10'sacnex bar 75gm,Acne,treat the most severe form of acne (nodular acne)â,9
33,acnezyl gel(topical) 10gm,Acne,â treat acne vulgarisâ,4
34,acnicin gel 15gmacnicin 1/1% solution 25ml,Acne,â treat acne vulgarisâ,4
35,acnil soap 75gm,Acne,â treat mild to moderate acne(spots),6
36,acnin cream 50gm,Acne,treatment of dry scaly skin disorders of the scalp,9
37,acnin pimple care face pack 50gm,Acne,mild to moderate acne (spots),5
38,acno 0.05% gel 15gmacno 20mg capsule 10's,Acne,a ret 0.025% is a prescription medicine that is used to reduce fine wrinkles,14
39,acnoff anti acne bar 100gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
40,acnorm lotion 180ml,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
41,acnovate gel 15gm,Acne,treat the most severe form of acne (nodular acne)â,9
42,acnovate trio gel 15gm,Acne,treat the most severe form of acne (nodular acne)â,9
43,acutret 10mg capsule 10'sacutret 30mg capsule 10'sacutret 20mg capsule 10'sacutret 5mg capsule 10's,Acne,treat the most severe form of acne (nodular acne)â,9
44,aczit 10mg softgel 10's,Acne,â treat acne vulgarisâ,4
45,adabor gel 15gm,Acne,â treat acne vulgarisâ,4
46,adacin gel 15gm,Acne,â treat mild to moderate acne(spots),6
47,adaclene gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,9
48,adaferin gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,10
49,adalene nano gel 15mg,Acne,"â gives smooth, soft, supple and fresh feeling to the skin",11
50,adapen gel 15gm,Acne,"it helps to reduce swelling. it can help reduce tenderness and pain when applied on a red, swollen pimple.",19
51,adaple gel 15gmadaple c gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,9
52,adapnil gel 15gm,Acne,mild to moderate acne (spots),5
53,adiff aqueous gel 15gm,Acne,a ret 0.025% is a prescription medicine that is used to reduce fine wrinkles,14
54,adistar gel 15gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
55,adistarc gel 10gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
56,adit 0.05% cream 20gmadit 0.025% cream 20gm,Acne,treat the most severe form of acne (nodular acne)â,9
57,adlene gel 15gm,Acne,treat the most severe form of acne (nodular acne)â,9
58,admark gel 15gm,Acne,treat the most severe form of acne (nodular acne)â,9
59,ahaglow acne control moisturizing gel 50gm,Acne,â treat acne vulgarisâ,4
60,airet 0.50% cream 15gmairet 0.10% cream 15gm,Acne,â treat acne vulgarisâ,4
61,airol cream 20gmairol 0.03% cream 20gmairol 0.05% cream 20gm,Acne,â treat mild to moderate acne(spots),6
62,aknaybar bathing bar 100gm,Acne,treatment of dry scaly skin disorders of the scalp,9
63,akneroxid 10% gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin,10
64,alan gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,9
65,alene gel 15gm,Acne,mild to moderate acne (spots),5
66,alesa 2.5% gel 1gmalesa 5% gel 1gm,Acne,a ret 0.025% is a prescription medicine that is used to reduce fine wrinkles,14
67,alight gel 15gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
68,alight plus gel 15gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
69,alite cream 15gmalite soap 75gm,Acne,treat the most severe form of acne (nodular acne)â,9
70,alite plus gel 15gm,Acne,treat the most severe form of acne (nodular acne)â,9
71,allyte 1% gel 20gm,Acne,treat the most severe form of acne (nodular acne)â,9
72,alonurish anti acne foaming face wash 60ml,Acne,â treat acne vulgarisâ,4
73,amypure tablet 90'samypure tablet 100's,Acne,â treat acne vulgarisâ,4
74,ap gel 10gm,Acne,â treat mild to moderate acne(spots),6
75,apalene c gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,9
76,athoderm 1% gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,10
77,atranza 10mg capsule 100's,Acne,treatment of dry scaly skin disorders of the scalp,9
78,atret 0.5% cream 30gmatret 0.025% cream 30gm,Acne,mild to moderate acne (spots),5
79,azac cream 15gmazac soap 75gm,Acne,a ret 0.025% is a prescription medicine that is used to reduce fine wrinkles,14
80,azecne 20% cream 15gmazecne 10% cream 15gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
81,aziderm 10% cream 15gmaziderm 20% gel 15gmaziderm 10% gel 15gmaziderm 20% cream 15gmaziderm 15% gel 15gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
82,azobril 15% cream 20gm,Acne,treat the most severe form of acne (nodular acne)â,9
83,baclytic gel 15gm,Acne,treat the most severe form of acne (nodular acne)â,9
84,bdiff a gel 15gm,Acne,treat the most severe form of acne (nodular acne)â,9
85,bende gel(topical) 20gmbende gel(topical) 30gm,Acne,â treat acne vulgarisâ,4
86,bengel 5% gel 30gmbengel ac 5% gel 30gmbengel 2.5% gel 30gm,Acne,â treat acne vulgarisâ,4
87,bengel ac 2.5% gel 30gm,Acne,â treat mild to moderate acne(spots),6
88,bengel acra 2.5% gel 30gm,Acne,treatment of dry scaly skin disorders of the scalp,9
89,benzac ac 2.5% gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin,10
90,benzac ac 5% gel 20gm,Acne,"â gives smooth, soft, supple and fresh feeling to the skin",11
91,benzer 5% gel 20gmbenzer 2.5% gel 20gm,Acne,"it helps to reduce swelling. it can help reduce tenderness and pain when applied on a red, swollen pimple.",19
92,benzonext 5% gel 20gmbenzonext gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp,9
93,benzonix 1.25% soap 75gmbenzonix 2.5% soap 75gmbenzonix gel 20gm,Acne,mild to moderate acne (spots),5
94,benzox ac 5% gel 20gm,Acne,a ret 0.025% is a prescription medicine that is used to reduce fine wrinkles,14
95,blokage gel 15gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
96,botanica 3d serum 30ml,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
97,brevoxyl cream 20gm,Acne,treat the most severe form of acne (nodular acne)â,9
98,brevoxyl creamy wash lotion 50gm,Acne,treat the most severe form of acne (nodular acne)â,9
99,brite opti cream 10gm,Acne,treat the most severe form of acne (nodular acne)â,9
100,calosoft plus cream 30gm,Acne,â treat acne vulgarisâ,4
101,camyda 300mg capsule 10'scamyda 1% gel 10gm,Acne,â treat acne vulgarisâ,4
102,canvaz gel(topical) 15gm,Acne,â treat mild to moderate acne(spots),6
103,cdiff a gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,9
104,cinason n gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin,10
105,cleargel gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp,9
106,cleargel ap gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,10
107,clearliv capsule 60's,Acne,"â gives smooth, soft, supple and fresh feeling to the skin",11
108,clenchin gel(topical) 20gm,Acne,"it helps to reduce swelling. it can help reduce tenderness and pain when applied on a red, swollen pimple.",19
109,clenchin z cream 10gm,Acne,mild to moderate acne (spots),5
110,cliac gel 15gm,Acne,a ret 0.025% is a prescription medicine that is used to reduce fine wrinkles,14
111,click gel 20gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
112,clid 1% gel 20gmclid gel 30gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
113,cliface gel 20gm,Acne,treat the most severe form of acne (nodular acne)â,9
114,cliface a gel 15gm,Acne,treat the most severe form of acne (nodular acne)â,9
115,cligel n gel 20gmcligel gel 15gm,Acne,treat the most severe form of acne (nodular acne)â,9
116,cligel a gel 15gm,Acne,â treat acne vulgarisâ,4
117,cligel t gel 15gm,Acne,â treat acne vulgarisâ,4
118,climple 1% gel 15gm,Acne,â treat mild to moderate acne(spots),6
119,climple a cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp,9
120,clin 1% gel 10gmclin tablet 10's,Acne,mild to moderate acne (spots),5
121,clin 3 gel 15gm,Acne,a ret 0.025% is a prescription medicine that is used to reduce fine wrinkles,14
122,clin ad gel 15gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
123,clinadd gel 15gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
124,clinapil 1% gel 10gm,Acne,treat the most severe form of acne (nodular acne)â,9
125,clincent 1% gel 20gm,Acne,treat the most severe form of acne (nodular acne)â,9
126,clincent a gel 15gm,Acne,treat the most severe form of acne (nodular acne)â,9
127,clincin gel 20gmclincin gel 10gm,Acne,â treat acne vulgarisâ,4
128,clincin n ge gel 20gm,Acne,â treat acne vulgarisâ,4
129,clincitop gel 20gmclincitop gel(topical) 15gm,Acne,â treat mild to moderate acne(spots),6
130,clinda 1% gel 10gm,Acne,treatment of dry scaly skin disorders of the scalp,9
131,clindac a foaming facewash 50ml,Acne,combined with anti-acne actives of both natural and synthetic origin,10
132,clindac a solution 25mlclindac a 1% gel 20gmclindac a gel 15gm,Acne,"â gives smooth, soft, supple and fresh feeling to the skin",11
133,clindakem a gel 20gm,Acne,"it helps to reduce swelling. it can help reduce tenderness and pain when applied on a red, swollen pimple.",19
134,clindap gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp,9
135,clindapene gel 15gm,Acne,mild to moderate acne (spots),5
136,clindasure 300mg capsule 10'sclindasure 150mg capsule 10's,Acne,a ret 0.025% is a prescription medicine that is used to reduce fine wrinkles,14
137,clindoxyl gel 15gmclindoxyl gel 10gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
138,clinet gel 20gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
139,clingard gel 15gm,Acne,treat the most severe form of acne (nodular acne)â,9
140,clinka gel 20gm,Acne,treat the most severe form of acne (nodular acne)â,9
141,clinka n gel 10gm,Acne,treat the most severe form of acne (nodular acne)â,9
142,clinkrick gel 10gm,Acne,â treat acne vulgarisâ,4
143,clinlup 1% gel 10gm,Acne,â treat acne vulgarisâ,4
144,clinmax a gel 30gmclinmax gel 20gm,Acne,â treat mild to moderate acne(spots),6
145,clinmiface a gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,9
146,clinopak 300mg tablet 10'sclinopak gel 20gmclinopak 150mg tablet 10's,Acne,combined with anti-acne actives of both natural and synthetic origin,10
147,clinoxid 15% gel 15gmclinoxid 1% gel 15gmclinoxid 1/2.5 cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp,9
148,clinxa gel 20gm,Acne,mild to moderate acne (spots),5
149,clinxa a gel 20gm,Acne,a ret 0.025% is a prescription medicine that is used to reduce fine wrinkles,14
150,comedolytic cream 20gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
151,cortina h cream 15gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
152,cosmoderm kit 1's,Acne,treat the most severe form of acne (nodular acne)â,9
153,cospeel shampoo 50ml,Acne,treat the most severe form of acne (nodular acne)â,9
154,crixan gel 15gm,Acne,treat the most severe form of acne (nodular acne)â,9
155,d acne soap 75gmd acne gel 10gm,Acne,â treat acne vulgarisâ,4
156,d acne i 20mg capsule 10'sd acne i 10mg capsule 10's,Acne,â treat acne vulgarisâ,4
157,d acne plus gel 15gm,Acne,â treat mild to moderate acne(spots),6
158,dalcihit 300mg capsule 10's,Acne,treatment of dry scaly skin disorders of the scalp,9
159,decdan lite cream 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin,10
160,decroma 6% cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp,9
161,depiglare cream 15gm,Acne,mild to moderate acne (spots),5
162,deriva aqueous gel 15gm,Acne,a ret 0.025% is a prescription medicine that is used to reduce fine wrinkles,14
163,deriva bpo gel 15gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
164,deriva cms gel 15gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
165,deriva ms gel 15gm,Acne,treat the most severe form of acne (nodular acne)â,9
166,derlin gel 10gm,Acne,treat the most severe form of acne (nodular acne)â,9
167,dermadew b bar 75gm,Acne,treat the most severe form of acne (nodular acne)â,9
168,dersol bh ointment 30gm,Acne,â treat acne vulgarisâ,4
169,doxt sl 100mg/5b tablet 8's,Acne,â treat acne vulgarisâ,4
170,ds acne face wash 100gm,Acne,â treat mild to moderate acne(spots),6
171,ega night cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp,9
172,elosone ht cream 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,10
173,emolene cream 100gm,Acne,"â gives smooth, soft, supple and fresh feeling to the skin",11
174,enclina gel(topical) 20gm,Acne,"it helps to reduce swelling. it can help reduce tenderness and pain when applied on a red, swollen pimple.",19
175,enclina adp gel(topical) 20gm,Acne,treatment of dry scaly skin disorders of the scalp,9
176,enshine ointment 15gm,Acne,mild to moderate acne (spots),5
177,entice acne bar 75gm,Acne,a ret 0.025% is a prescription medicine that is used to reduce fine wrinkles,14
178,entice natura soap 75gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
179,epiduo gel 30gmepiduo gel 15gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
180,erytop lotion 25mlerytop gel 20gm,Acne,treat the most severe form of acne (nodular acne)â,9
181,erytop a gel 15gm,Acne,treat the most severe form of acne (nodular acne)â,9
182,ethitret 20mg capsule 10'sethitret 10mg capsule 10's,Acne,treat the most severe form of acne (nodular acne)â,9
183,eudyna 0.05% cream 20gm,Acne,â treat acne vulgarisâ,4
184,eunozit 10mg capsule 10's,Acne,â treat acne vulgarisâ,4
185,exazel 15% cream 15gmexazel 10% cream 15gmexazel cream 10gmexazel 20% cream 15gm,Acne,â treat mild to moderate acne(spots),6
186,exazel n cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp,9
187,excela cream 50gm,Acne,combined with anti-acne actives of both natural and synthetic origin,10
188,excex gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,9
189,exel cream 16gm,Acne,combined with anti-acne actives of both natural and synthetic origin,10
190,ezanic 10% gel 15gmezanic 10% cream 15gmezanic 20% gel 15gmezanic 20% cream 15gm,Acne,"â gives smooth, soft, supple and fresh feeling to the skin",11
191,fabeau soap 1's,Acne,"it helps to reduce swelling. it can help reduce tenderness and pain when applied on a red, swollen pimple.",19
192,facebenz a gel 15gm,Acne,mild to moderate acne (spots),5
193,faceclin gel 20gm,Acne,a ret 0.025% is a prescription medicine that is used to reduce fine wrinkles,14
194,faceclin a gel 15gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
195,faceclin at gel 15gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
196,femcinol a gel 20gm,Acne,treat the most severe form of acne (nodular acne)â,9
197,femcinol adp gel 15gm,Acne,treat the most severe form of acne (nodular acne)â,9
198,femolink cream 20gm,Acne,treat the most severe form of acne (nodular acne)â,9
199,flexon cream 15gm,Acne,â treat acne vulgarisâ,4
200,foracne plus gel 15gm,Acne,â treat acne vulgarisâ,4
201,zit 20mg capsule 10'szit 10mg capsule 10's,Acne,â treat acne vulgarisâ,4
202,zitblow 20mg capsule 10'szitblow 10mg capsule 10's,Acne,â treat acne vulgarisâ,4
203,zitclin foam wash gel 100ml,Acne,â treat mild to moderate acne(spots),6
204,zyclin nano gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,9
205,addnok tablet 20's,Adhd,combined with anti-acne actives of both natural and synthetic origin,10
206,armod 150mg tablet 10'sarmod 50mg tablet 10's,Adhd,treatment of dry scaly skin disorders of the scalp,9
207,atokem 25mg tablet 10'satokem 10mg tablet 10'satokem 18mg tablet 10's,Adhd,mild to moderate acne (spots),5
208,atrest 12.5mg tablet 10'satrest 25mg tablet 10's,Adhd,a ret 0.025% is a prescription medicine that is used to reduce fine wrinkles,14
209,attentin 10mg capsule 10'sattentin 18mg capsule 10'sattentin 25mg capsule 10's,Adhd,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
210,attentrol 10mg capsule 10'sattentrol 25mg capsule 10'sattentrol 40 mg capsule 10'sattentrol 18mg capsule 10's,Adhd,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
211,attera 10mg tablet 10'sattera 18mg tablet 10'sattera 40mg tablet 10'sattera 25mg tablet 10's,Adhd,treat the most severe form of acne (nodular acne)â,9
212,axepta 18mg tablet 10'saxepta 60mg tablet 10'saxepta 40mg tablet 10'saxepta 25mg tablet 10'saxepta 10mg tablet 10's,Adhd,treat the most severe form of acne (nodular acne)â,9
213,capnea injection 1ml,Adhd,treat the most severe form of acne (nodular acne)â,9
214,modafil md 100mg tablet 10'smodafil md 200mg tablet 10's,Adhd,â treat acne vulgarisâ,4
215,modalert 200mg tablet 10'smodalert 100mg tablet 10's,Adhd,â treat acne vulgarisâ,4
216,modapro 100mg tablet 10'smodapro 200mg tablet 10's,Adhd,â treat mild to moderate acne(spots),6
217,modatec 100mg tablet 10'smodatec 200mg tablet 10's,Adhd,treatment of dry scaly skin disorders of the scalp,9
218,provake 100mg tablet 10'sprovake 200mg tablet 10's,Adhd,combined with anti-acne actives of both natural and synthetic origin,10
219,tomoxetin 18mg capsule 10's,Adhd,treatment of dry scaly skin disorders of the scalp,9
220,vitibex lip gel 20gm,Adhd,mild to moderate acne (spots),5
221,waklert 150mg tablet 5'swaklert 150mg tablet 10'swaklert 250mg tablet 5'swaklert 50mg tablet 10'swaklert 100mg tablet 10,Adhd,a ret 0.025% is a prescription medicine that is used to reduce fine wrinkles,14
222,1 al plus capsule 10's1 al 10mg tablet 15's1 al 5mg tablet 10's1 al max tablet 10's1 al syrup 30ml,Allergies,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
223,1 al m 10/5mg tablet 10's,Allergies,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
224,abicet m tablet 10's,Allergies,treat the most severe form of acne (nodular acne)â,9
225,acolate m kid syrup 60ml,Allergies,treat the most severe form of acne (nodular acne)â,9
226,adril lotion 100ml,Allergies,treat the most severe form of acne (nodular acne)â,9
227,afineday tablet 10's,Allergies,â treat acne vulgarisâ,4
228,air 180mg tablet 10'sair 120mg tablet 10's,Allergies,â treat acne vulgarisâ,4
229,airitis 5mg tablet 10'sairitis syrup 30ml,Allergies,â treat mild to moderate acne(spots),6
230,airkast l tablet 10's,Allergies,treatment of dry scaly skin disorders of the scalp,9
231,airlung tablet 10's,Allergies,combined with anti-acne actives of both natural and synthetic origin,10
232,airlung fx 10/120mg tablet 10's,Allergies,"â gives smooth, soft, supple and fresh feeling to the skin",11
233,airtek 10/5mg tablet 10's,Allergies,"it helps to reduce swelling. it can help reduce tenderness and pain when applied on a red, swollen pimple.",19
234,akair lc 10/5mg tablet 10's,Allergies,treatment of dry scaly skin disorders of the scalp,9
235,akuminic syrup 60ml,Allergies,mild to moderate acne (spots),5
236,alaspan 10mg tablet 10's,Allergies,a ret 0.025% is a prescription medicine that is used to reduce fine wrinkles,14
237,alaspan am tablet 10's,Allergies,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
238,alaspan oral solution 60ml,Allergies,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
239,alastin 10mg tablet 10's,Allergies,treat the most severe form of acne (nodular acne)â,9
240,alcarex eye drops,Allergies,treat the most severe form of acne (nodular acne)â,9
241,alcet 5mg tablet 10's,Allergies,treat the most severe form of acne (nodular acne)â,9
242,alcon plus tablet 10's,Allergies,â treat acne vulgarisâ,4
243,alday duo 4/2.5mg syrup 60ml,Allergies,â treat acne vulgarisâ,4
244,aldex sr 6mg tablet 10's,Allergies,â treat mild to moderate acne(spots),6
245,aldine 5mg tablet 10's,Allergies,treatment of dry scaly skin disorders of the scalp,9
246,alecloz 180mg tablet 10'salecloz 120mg tablet 10's,Allergies,combined with anti-acne actives of both natural and synthetic origin,10
247,alenix 5mg tablet 10'salenix 10mg tablet 10's,Allergies,good for allergic skin,4
248,alerdain m tablet 10's,Allergies,itching can be soothen,4
249,alerdain m kid tablet 10's,Allergies,relief from itching,3
250,alerfex 120mg tablet 10's,Allergies,soothens allergies and good for all types of skin,9
251,alerfix 5mg tablet 10's,Allergies,skin care for allergy,4
252,alerfix m tablet 15's,Allergies,good for allergic skin,4
253,alerfri af drops 15ml,Allergies,itching can be soothen,4
254,alergin tablet 10's,Allergies,relief from itching,3
255,alergin l tablet 10's,Allergies,soothens allergies and good for all types of skin,9
256,alergin lx syrup 30ml,Allergies,skin care for allergy,4
257,alergin nf syrup 30ml,Allergies,â improve the appearance of fine lines,7
258,alergo 120mg tablet 10's,Allergies,relief from allergy,3
259,alerid 10mg tablet 10'salerid syrup 30mlalerid syrup 60ml,Allergies,releief from all type of allergies,6
260,alerid d tablet 10's,Allergies,relief from allergy,3
261,aleriz tablet 500's,Allergies,soothens allergies and good for all types of skin,9
262,alermed 180mg tablet 10'salermed tablet 10's,Allergies,skin care for allergy,4
263,alernex 120mg tablet 10's,Allergies,good for allergic skin,4
264,alert 180mg tablet 10'salert 120mg tablet 10's,Allergies,itching can be soothen,4
265,alert l 5mg tablet 10's,Allergies,relief from itching,3
266,alertac 10mg tablet 10's,Allergies,soothens allergies and good for all types of skin,9
267,alertriz 5mg tablet 10's,Allergies,skin care for allergy,4
268,alervo m tablet 10's,Allergies,â improve the appearance of fine lines,7
269,alexo 120mg tablet 10's,Allergies,relief from allergy,3
270,alexo m 10/120mg tablet 10's,Allergies,releief from all type of allergies,6
271,algo 10mg tablet 10's,Allergies,relief from allergy,3
272,algrot 120mg tablet 10'salgrot 30mg suspension 60ml,Allergies,soothens allergies and good for all types of skin,9
273,alides 5mg tablet 10's,Allergies,skin care for allergy,4
274,all 3 5mg tablet 10's,Allergies,good for allergic skin,4
275,allefast 120mg tablet 10'sallefast 180mg tablet 10's,Allergies,itching can be soothen,4
276,allegix 120mg tablet 6'sallegix 180mg tablet 6's,Allergies,relief from itching,3
277,allegra 30mg tablet 10'sallegra suspension 100ml,Allergies,soothens allergies and good for all types of skin,9
278,allegra 60mg tablet 10'sallegra 120mg tablet 10'sallegra syrup 60mlallegra 180mg tablet 10's,Allergies,skin care for allergy,4
279,allegra m tablet 10's,Allergies,â improve the appearance of fine lines,7
280,allelin 10mg tablet 10's,Allergies,relief from allergy,3
281,allercet pedtabs tablet 10'sallercet l tablet 10'sallercet 5mg tablet 10'sallercet 10mg tablet 10's,Allergies,releief from all type of allergies,6
282,allercet m tablet 10's,Allergies,relief from allergy,3
283,allercet m kid tablet 10's,Allergies,soothens allergies and good for all types of skin,9
284,allercrom eye drops 10ml,Allergies,skin care for allergy,4
285,allercrom forte eye drops 5ml,Allergies,good for allergic skin,4
286,allerde 5mg tablet 10's,Allergies,itching can be soothen,4
287,allerde m tablet 10's,Allergies,relief from itching,3
